open_timestamp,open,high,low,close,volume,taker_buy_quote_asset_volume,taker_buy_base_asset_volume,quote_asset_volume,number_of_trades
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.088865,275647.421908,64.013727,353194.332926,334
2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.619882,261054.05115699998,58.787633,282501.157753,248
2017-08-17 12:00:00,4427.3,4485.39,4333.42,4352.34,174.562001,555419.75806,125.184133,774238.798317,858
2017-08-17 16:00:00,4352.34,4354.84,4200.74,4325.23,225.109716,707808.200929,165.036363,965291.098813,986
2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.769913,878286.968557,203.226685,1079544.662938,1001
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.193043,915578.054,214.65557,1175805.574393,1036
2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.389029,872408.75177,203.646699,1063954.726171,1135
2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.140129,720161.340809,167.105732,845595.866043,880
2017-08-18 12:00:00,4340.31,4340.31,4193.7,4236.89,175.969384,626284.074335,147.078312,749458.52576,697
2017-08-18 16:00:00,4236.89,4297.75,4015.7,4136.28,193.64697,641094.962919,153.458944,807331.060099,753
2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.54970900000001,353596.132699,86.923453,444812.553709,732
2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.510448,382661.644555,92.399174,449351.422236,585
2017-08-19 04:00:00,4138.55,4156.0,3933.21,4033.47,112.752079,310960.508227,76.679027,457214.754207,493
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.25604200000001,177045.864844,44.219584,307816.368113,481
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.515578,137030.527301,33.814759,192323.936795,320
2017-08-19 16:00:00,3972.05,4103.92,3953.4,4076.12,25.925056,81056.620245,20.098673,104478.702919,161
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,29246.70492,7.124825,38298.551152,113
2017-08-20 00:00:00,4139.98,4139.98,4044.0,4094.62,6.611283,23607.948735,5.758385,27090.323792,79
2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.60391,82819.224577,20.148087,117539.174876,275
2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943,83560.553179,20.259055,148442.013207,268
2017-08-20 12:00:00,4106.53,4125.43,4063.35,4125.0,29.113266,91722.203193,22.330986,119507.055686,128
2017-08-20 16:00:00,4125.0,4185.94,4091.59,4164.6,169.995517,607419.748522,146.825698,703376.445635,689
2017-08-20 20:00:00,4161.59,4171.62,4069.13,4086.29,196.739103,668271.655536,161.473736,814409.377137,882
2017-08-21 00:00:00,4069.13,4119.62,4039.0,4084.76,220.838143,785426.802404,192.385542,901616.432163,931
2017-08-21 04:00:00,4079.26,4104.68,3953.4,4043.63,222.575129,722314.652313,179.073425,897752.764777,1200
2017-08-21 08:00:00,4043.63,4088.12,4000.01,4023.11,78.878314,257161.360313,63.705722,318369.894146,454
2017-08-21 12:00:00,4023.11,4023.11,3911.79,4022.0,43.762796,71741.596762,17.954574,174413.626396,479
2017-08-21 16:00:00,4022.0,4042.11,3918.8,4027.05,24.46693,71826.653861,17.923313,97897.655958,330
2017-08-21 20:00:00,4027.05,4070.49,3950.0,4016.0,101.221748,347191.487527,86.313531,407181.340617,578
2017-08-22 00:00:00,4016.0,4016.0,3688.97,3862.39,114.685346,306369.377806,79.20673,442744.57171,731
2017-08-22 04:00:00,3863.0,3868.57,3400.0,3798.08,167.221519,413851.454009,109.434454,627645.607168,935
2017-08-22 08:00:00,3798.08,3920.31,3750.08,3866.48,221.731236,532978.700048,138.502727,854175.434704,1466
2017-08-22 12:00:00,3866.48,3990.12,3786.81,3858.23,179.358421,164971.017646,42.155693,698287.504065,1471
2017-08-22 16:00:00,3858.23,4104.82,3853.47,3984.24,159.535655,112421.52695099999,28.138591,634541.127796,1017
