open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1578376800000,7872.95,7969.00,7855.75,7899.86,31545.308,1578398399999,249122037.10842,51921,15854.265,125212704.69425,0
1578398400000,7898.90,7957.80,7733.00,7941.60,75001.913,1578419999999,589768187.04274,141919,36990.176,290945969.38221,0
1578420000000,7941.60,8215.33,7923.36,8152.49,99443.442,1578441599999,803767873.97917,197227,50125.117,405229465.98198,0
1578441600000,8150.90,8468.42,8144.02,8339.26,102288.203,1578463199999,852758495.53623,202351,51147.056,426299819.52612,0
1578463200000,8337.94,8379.51,8267.00,8335.28,35386.800,1578484799999,294584272.62653,64008,17786.636,148089467.40833,0
1578484800000,8335.28,8427.97,8012.00,8081.71,121496.820,1578506399999,1000178867.15521,252975,58403.379,480841296.67496,0
1578506400000,8081.02,8129.00,7870.11,8059.84,62053.291,1578527999999,497261200.47487,131637,29923.382,239817003.51377,0
1578528000000,8059.77,8060.00,7930.00,7944.07,35604.614,1578549599999,284014500.99921,64722,17114.166,136525665.99851,0
1578549600000,7944.20,7979.00,7851.91,7881.53,43520.129,1578571199999,344210818.62732,77466,21101.412,166928903.12777,0
1578571200000,7881.52,7948.11,7776.00,7801.73,48112.960,1578592799999,378583880.48417,90730,23012.424,181129893.53553,0
1578592800000,7801.93,8006.83,7750.01,7818.59,60025.440,1578614399999,471782145.91288,129502,30198.057,237395028.42872,0
1578614400000,7817.91,7855.00,7736.30,7748.25,24829.070,1578635999999,193718707.73198,46785,11586.932,90422905.20468,0
1578636000000,7748.24,7854.32,7670.00,7841.02,57625.550,1578657599999,447091608.99351,121335,29159.133,226287224.38332,0
1578657600000,7841.00,8145.41,7808.32,7965.57,97124.104,1578679199999,773856065.08512,217842,50323.401,400927265.84470,0
1578679200000,7965.46,8210.62,7965.14,8207.09,74205.224,1578700799999,599072468.11026,156092,38303.996,309306114.42647,0
1578700800000,8207.20,8261.33,8048.00,8087.64,43750.592,1578722399999,357277362.31334,95245,21564.767,176069139.36943,0
